idempl,CF,az_ragione_soc,data_inizio,data_fine,professione,qualifica,qualifica_codice,rl_ateco,rl_ateco_macro,rl_ateco_settore,saldo,sede_op_ateco,sede_op_comune,sede_op_indirizzo,sede_op_provincia,SLL_nome,tipo_contratto
236,CF_80001020314,CAMERA DEL LAVORO TERRITORIALE DI GORIZIA CGIL,2014-01-01,2014-03-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI BASI DATI,2.1.1.5.2.2,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,SERVIZI,ALTRE ATTIVITÀ DI SERVIZI,1,94.20.00,MONFALCONE,VIA PACINOTTI 21,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
804,CF_00402880314,BOATO INTERNATIONAL SPA,2014-07-01,NA,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",INGEGNERE MINERARIO,2.2.1.2.2.1,"FABBRICAZIONE DI ALTRE MACCHINE DA MINIERA, CAVA E CANTIERE (INCLUSE PARTI E ACCESSORI)",INDUSTRIA,ATTIVITÀ MANIFATTURIERE,1,28.11.0,MONFALCONE,VIA CHICO MENDES 7,GORIZIA,MONFALCONE,LAVORO A TEMPO INDETERMINATO
3653,CF_01089420317,A.M. PROJECT S.R.L. IN LIQUIDAZIONE,2014-09-01,2014-10-31,PROFESSIONI NON QUALIFICATE,OPERAIO DI MANOVRA,8.1.3.1.0.21,INSTALLAZIONE DI IMPIANTI ELETTRICI IN EDIFICI O IN ALTRE OPERE DI COSTRUZIONE (INCLUSA MANUTENZIONE E RIPARAZIONE),INDUSTRIA,COSTRUZIONI,1,43.21.01,MONFALCONE,C/O FINCANTIERI CNI SPA,GORIZIA,MONFALCONE,LAVORO A TEMPO DETERMINATO
39,CF_90009500316,SPI - CGIL DEL COMPRENSORIO DI GORIZIA,2014-01-01,2014-04-18,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI BASI DATI,2.1.1.5.2.2,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,SERVIZI,ALTRE ATTIVITÀ DI SERVIZI,1,94.20.00,MONFALCONE,VIA PACINOTTI 21,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
39,CF_90009500316,SPI - CGIL DEL COMPRENSORIO DI GORIZIA,2014-01-01,2014-04-18,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI BASI DATI,2.1.1.5.2.2,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,SERVIZI,ALTRE ATTIVITÀ DI SERVIZI,1,94.20.00,MONFALCONE,VIA PACINOTTI 21,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
39,CF_90009500316,SPI - CGIL DEL COMPRENSORIO DI GORIZIA,2014-01-01,2014-04-18,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI BASI DATI,2.1.1.5.2.2,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,SERVIZI,ALTRE ATTIVITÀ DI SERVIZI,1,94.20.00,MONFALCONE,VIA PACINOTTI 21,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
3085,CF_01137480313,NORD COMPOSITES ITALIA S.R.L.,2014-09-08,2014-12-18,PROFESSIONI NON QUALIFICATE,OPERAIO DI MANOVRA,8.1.3.1.0.21,-,"NAN","NAN",1,78.10.00,MONFALCONE,"VIALE SAN MARCO, 14",GORIZIA,MONFALCONE,LAVORO A TEMPO DETERMINATO
1678,CF_00050880319,EATON  SRL,2014-10-01,2015-07-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",INGEGNERE AEROSPAZIALE,2.2.1.1.3.2,FABBRICAZIONE DI ALTRE PARTI ED ACCESSORI PER AUTOVEICOLI E LORO MOTORI NCA,INDUSTRIA,ATTIVITÀ MANIFATTURIERE,1,29.32.09,MONFALCONE,VIA DEI BAGNI NUOVA,GORIZIA,MONFALCONE,LAVORO A TEMPO INDETERMINATO
830,CF_00433840311,G.E.M. GENERAL ELECTRIC MONFALCONE SRL,2014-11-03,2015-02-06,"CONDUTTORI DI IMPIANTI, OPERAI DI MACCHINARI FISSI E MOBILI E CONDUCENTI DI VEICOLI",ADDETTO ASSEMBLAGGIO DI APPARECCHI ELETTRICI,7.2.7.2.0.4,-,"NAN","NAN",1,74.50.1,MONFALCONE,"VIA NINO BIXIO, 8/B",GORIZIA,MONFALCONE,LAVORO A TEMPO DETERMINATO
80,CF_90009500316,SPI - CGIL DEL COMPRENSORIO DI GORIZIA,2014-01-01,2014-12-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI BASI DATI,2.1.1.5.2.2,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,SERVIZI,ALTRE ATTIVITÀ DI SERVIZI,1,94.20.00,MONFALCONE,VIA PACINOTTI 21,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
80,CF_90009500316,SPI - CGIL DEL COMPRENSORIO DI GORIZIA,2014-01-01,2014-12-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI BASI DATI,2.1.1.5.2.2,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,SERVIZI,ALTRE ATTIVITÀ DI SERVIZI,1,94.20.00,MONFALCONE,VIA PACINOTTI 21,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
705,CF_01087760318,CONSORZIO BLUE LINE GROUP,2014-02-03,2015-10-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",INGEGNERI INDUSTRIALI E GESTIONALI,2.2.1.7.0.0,FABBRICAZIONE DI STRUTTURE METALLICHE E PARTI ASSEMBLATE DI STRUTTURE,INDUSTRIA,ATTIVITÀ MANIFATTURIERE,1,25.11.00,MONFALCONE,VIA DEI BOSCHETTI 57,GORIZIA,MONFALCONE,LAVORO A TEMPO INDETERMINATO
56,CF_90009500316,SPI - CGIL DEL COMPRENSORIO DI GORIZIA,2014-01-01,2014-12-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI BASI DATI,2.1.1.5.2.2,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,SERVIZI,ALTRE ATTIVITÀ DI SERVIZI,1,94.20.00,MONFALCONE,VIA PACINOTTI 21,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
56,CF_90009500316,SPI - CGIL DEL COMPRENSORIO DI GORIZIA,2014-01-01,2014-12-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI BASI DATI,2.1.1.5.2.2,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,SERVIZI,ALTRE ATTIVITÀ DI SERVIZI,1,94.20.00,MONFALCONE,VIA PACINOTTI 21,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
2710,CF_11574560154,IKEA ITALIA RETAIL SRL,2014-01-09,2015-05-03,PROFESSIONI QUALIFICATE NELLE ATTIVITA’ COMMERCIALI E NEI SERVIZI,COMMESSO DI VENDITA,5.1.2.2.0.12,-,"NAN","NAN",1,74.50.1,MONFALCONE,"VIA NINO BIXIO, 8/B",GORIZIA,MONFALCONE,LAVORO A TEMPO DETERMINATO
69,CF_90017080319,LEGA DISTRETTUALE SPI - CGIL MONFALCONE,2014-01-01,2014-02-21,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI BASI DATI,2.1.1.5.2.2,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,SERVIZI,ALTRE ATTIVITÀ DI SERVIZI,1,94.20.00,MONFALCONE,VIA PACINOTTI 21,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
69,CF_90017080319,LEGA DISTRETTUALE SPI - CGIL MONFALCONE,2014-01-01,2014-02-21,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI BASI DATI,2.1.1.5.2.2,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,SERVIZI,ALTRE ATTIVITÀ DI SERVIZI,1,94.20.00,MONFALCONE,VIA PACINOTTI 21,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
3372,CF_00397130584,FINCANTIERI S.P.A.,2014-09-15,2015-03-15,PROFESSIONI TECNICHE,CONTROLLORE DI PRODUZIONE,3.3.1.5.0.7,CANTIERI NAVALI PER COSTRUZIONI METALLICHE E NON METALLICHE (ESCLUSI I SEDILI PER NAVI),INDUSTRIA,ATTIVITÀ MANIFATTURIERE,1,30.11.02,MONFALCONE,"PIAZZALE COSULICH, 1",GORIZIA,MONFALCONE,TIROCINIO
2141,CF_10624251004,AIRWORKS S.R.L.,2014-10-01,2015-10-30,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",INGEGNERI AEROSPAZIALI E ASTRONAUTICI,2.2.1.1.3.0,SERVIZI DI PROGETTAZIONE DI INGEGNERIA INTEGRATA,SERVIZI,"ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE",1,71.12.20,MONFALCONE,"PIAZZALE SALVO D'ACQUISTO, 3",GORIZIA,MONFALCONE,LAVORO A TEMPO INDETERMINATO
2352,CF_00051080315,MARINA HANNIBAL SRL,2014-01-03,2014-02-04,PROFESSIONI TECNICHE,TECNICO TURISTICO DEL DIPORTO,3.4.1.1.0.3,ALTRE ATTIVITÀ DEI SERVIZI CONNESSI AL TRASPORTO MARITTIMO E PER VIE D'ACQUA,SERVIZI,TRASPORTO E MAGAZZINAGGIO,1,63.11.3,MONFALCONE,VIA BAGNI NUOVA N. 41,GORIZIA,MONFALCONE,LAVORO A TEMPO DETERMINATO  PER SOSTITUZIONE
2352,CF_00051080315,MARINA HANNIBAL SRL,2014-01-03,2014-02-04,PROFESSIONI TECNICHE,TECNICO TURISTICO DEL DIPORTO,3.4.1.1.0.3,ALTRE ATTIVITÀ DEI SERVIZI CONNESSI AL TRASPORTO MARITTIMO E PER VIE D'ACQUA,SERVIZI,TRASPORTO E MAGAZZINAGGIO,1,63.11.3,MONFALCONE,VIA BAGNI NUOVA N. 41,GORIZIA,MONFALCONE,LAVORO A TEMPO DETERMINATO  PER SOSTITUZIONE
3501,CF_01107970319,S.M.I SRL,2014-09-15,2014-09-23,PROFESSIONI ESECUTIVE NEL LAVORO D'UFFICIO,"PERSONALE ADDETTO A COMPITI DI CONTROLLO, VERIFICA E PROFESSIONI ASSIMILATE",4.4.1.1.0.0,-,"NAN","NAN",1,78.10.00,MONFALCONE,"VIALE SAN MARCO, 14",GORIZIA,MONFALCONE,LAVORO A TEMPO DETERMINATO
3200,CF_00397130584,FINCANTIERI S.P.A.,2014-04-28,2014-11-07,PROFESSIONI TECNICHE,TECNICO CALCOLATORE NAVALE,3.1.6.1.2.6,CANTIERI NAVALI PER COSTRUZIONI METALLICHE E NON METALLICHE (ESCLUSI I SEDILI PER NAVI),INDUSTRIA,ATTIVITÀ MANIFATTURIERE,1,30.11.02,MONFALCONE,"PIAZZALE COSULICH, 1",GORIZIA,MONFALCONE,TIROCINIO
3543,CF_01144990312,RETECOMM S.R.L.,2014-05-23,2014-07-14,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",CONSULENTE PER LE APPLICAZIONI GESTIONALI,2.1.1.4.1.7,"AGENTI E RAPPRESENTANTI DI ALTRI PRODOTTI NON ALIMENTARI NCA (INCLUSI GLI IMBALLAGGI E GLI ARTICOLI ANTINFORTUNISTICI, ANTINCENDIO E PUBBLICITARI)",SERVIZI,COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,1,46.18.97,MONFALCONE,VIA GARIBALDI 73,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
67,CF_90017080319,LEGA DISTRETTUALE SPI - CGIL MONFALCONE,2014-01-01,2014-02-21,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI BASI DATI,2.1.1.5.2.2,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,SERVIZI,ALTRE ATTIVITÀ DI SERVIZI,1,94.20.00,MONFALCONE,VIA PACINOTTI 21,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
67,CF_90017080319,LEGA DISTRETTUALE SPI - CGIL MONFALCONE,2014-01-01,2014-02-21,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI BASI DATI,2.1.1.5.2.2,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,SERVIZI,ALTRE ATTIVITÀ DI SERVIZI,1,94.20.00,MONFALCONE,VIA PACINOTTI 21,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
1932,CF_02102250632,SISTEMI SOFTWARE INTEGRATI,2014-07-01,2015-11-30,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ANALISTA PROGRAMMATORE EDP,2.1.1.4.1.4,-,"NAN","NAN",1,78.10.00,MONFALCONE,"VIALE SAN MARCO, 14",GORIZIA,MONFALCONE,LAVORO A TEMPO DETERMINATO
1932,CF_02102250632,SISTEMI SOFTWARE INTEGRATI,2014-07-01,2015-11-30,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ANALISTA PROGRAMMATORE EDP,2.1.1.4.1.4,-,"NAN","NAN",1,78.10.00,MONFALCONE,"VIALE SAN MARCO, 14",GORIZIA,MONFALCONE,LAVORO A TEMPO DETERMINATO
1932,CF_02102250632,SISTEMI SOFTWARE INTEGRATI,2014-07-01,2015-11-30,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ANALISTA PROGRAMMATORE EDP,2.1.1.4.1.4,-,"NAN","NAN",1,78.10.00,MONFALCONE,"VIALE SAN MARCO, 14",GORIZIA,MONFALCONE,LAVORO A TEMPO DETERMINATO
1932,CF_10111831003,SELEX ES SPA,2014-07-01,2015-11-30,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ANALISTA PROGRAMMATORE EDP,2.1.1.4.1.4,-,"NAN","NAN",1,78.10.00,MONFALCONE,"VIALE SAN MARCO, 14",GORIZIA,MONFALCONE,LAVORO A TEMPO DETERMINATO
1932,CF_10111831003,SELEX ES SPA,2014-07-01,2015-11-30,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ANALISTA PROGRAMMATORE EDP,2.1.1.4.1.4,-,"NAN","NAN",1,78.10.00,MONFALCONE,"VIALE SAN MARCO, 14",GORIZIA,MONFALCONE,LAVORO A TEMPO DETERMINATO
1932,CF_10111831003,SELEX ES SPA,2014-07-01,2015-11-30,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ANALISTA PROGRAMMATORE EDP,2.1.1.4.1.4,-,"NAN","NAN",1,78.10.00,MONFALCONE,"VIALE SAN MARCO, 14",GORIZIA,MONFALCONE,LAVORO A TEMPO DETERMINATO
184,CF_80001020314,CAMERA DEL LAVORO TERRITORIALE DI GORIZIA CGIL,2014-01-01,2014-12-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI BASI DATI,2.1.1.5.2.2,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,SERVIZI,ALTRE ATTIVITÀ DI SERVIZI,1,94.20.00,MONFALCONE,VIA PACINOTTI 21,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
635,CF_01144910310,GAIA S.P.A.,2014-03-10,2015-07-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ESPERTO IN RICERCA OPERATIVA,2.1.1.3.2.2,PRODUZIONE DI PREPARATI OMOGENEIZZATI E DI ALIMENTI DIETETICI,INDUSTRIA,ATTIVITÀ MANIFATTURIERE,1,10.86.00,MONFALCONE,VIA DEI BAGNI NUOVA 3,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
3022,CF_00050880319,EATON  SRL,2014-05-19,2017-12-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",INGEGNERE MECCANICO,2.2.1.1.1.1,FABBRICAZIONE DI ALTRE PARTI ED ACCESSORI PER AUTOVEICOLI E LORO MOTORI NCA,INDUSTRIA,ATTIVITÀ MANIFATTURIERE,1,29.32.09,MONFALCONE,VIA DEI BAGNI NUOVA,GORIZIA,MONFALCONE,LAVORO A TEMPO INDETERMINATO
2654,CF_FRNRRT68A18E098P,FRANCO ROBERTO,2014-03-24,2014-09-30,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ARCHITETTI,2.2.2.1.1.0,ATTIVITÀ DEGLI STUDI DI ARCHITETTURA,SERVIZI,"ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE",1,71.11.00,MONFALCONE,VIA LUIGI GALVANI N. 18,GORIZIA,MONFALCONE,TIROCINIO
3165,CF_00167500248,NIDEC ASI SPA,2014-09-01,2019-09-15,"ARTIGIANI, OPERAI SPECIALIZZATI E AGRICOLTORI","MECCANICI, RIPARATORI E MANUTENTORI DI AEREI",6.2.3.2.0.0,"FABBRICAZIONE DI MOTORI, GENERATORI E TRASFORMATORI ELETTRICI",INDUSTRIA,ATTIVITÀ MANIFATTURIERE,1,33.20.03,MONFALCONE,VIA MARCONI 1,GORIZIA,MONFALCONE,LAVORO A TEMPO INDETERMINATO
281,CF_01108420314,"NAVAL COMPOSITI SRL",2014-07-01,NA,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI BASI DATI,2.1.1.5.2.2,CANTIERI NAVALI PER COSTRUZIONI METALLICHE E NON METALLICHE (ESCLUSI I SEDILI PER NAVI),INDUSTRIA,ATTIVITÀ MANIFATTURIERE,1,30.11.02,MONFALCONE,PIAZZA CAVOUR 7,GORIZIA,MONFALCONE,LAVORO A TEMPO INDETERMINATO
2847,CF_00397130584,FINCANTIERI S.P.A.,2014-03-24,2014-10-03,PROFESSIONI ESECUTIVE NEL LAVORO D'UFFICIO,IMPIEGATO AMMINISTRATIVO,4.1.1.2.0.6,CANTIERI NAVALI PER COSTRUZIONI METALLICHE E NON METALLICHE (ESCLUSI I SEDILI PER NAVI),INDUSTRIA,ATTIVITÀ MANIFATTURIERE,1,30.11.02,MONFALCONE,"PIAZZALE COSULICH, 1",GORIZIA,MONFALCONE,TIROCINIO
2847,CF_00397130584,FINCANTIERI S.P.A.,2014-10-06,NA,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",INGEGNERE MECCANICO,2.2.1.1.1.1,CANTIERI NAVALI PER COSTRUZIONI METALLICHE E NON METALLICHE (ESCLUSI I SEDILI PER NAVI),INDUSTRIA,ATTIVITÀ MANIFATTURIERE,1,30.11.02,MONFALCONE,"PIAZZALE COSULICH, 1",GORIZIA,MONFALCONE,LAVORO A TEMPO INDETERMINATO
148,CF_90009500316,SPI - CGIL DEL COMPRENSORIO DI GORIZIA,2014-01-01,2014-12-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI BASI DATI,2.1.1.5.2.2,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,SERVIZI,ALTRE ATTIVITÀ DI SERVIZI,1,94.20.00,MONFALCONE,VIA PACINOTTI 21,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
148,CF_90009500316,SPI - CGIL DEL COMPRENSORIO DI GORIZIA,2014-01-01,2014-12-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI BASI DATI,2.1.1.5.2.2,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,SERVIZI,ALTRE ATTIVITÀ DI SERVIZI,1,94.20.00,MONFALCONE,VIA PACINOTTI 21,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
